POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
69029001;20240408;20,6;1;271;9;15,8;1;309;9;24,1;1;1528;9;20,7;1;19,95;1;13,4;9;14,7;9;0;9;8,3;1;20,0;1;1008,4;1;1004,0;1;5,9;1;18,3;1;210;9;2206;9;11,1;1;190;9;2159;9;;;;;;;;;16,8;1;;;2033;9;20;1;2156;9;52;1;304;9;1020;9;0;9;8,5;9;;;36;1;2;9;561;1;;;;;0;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;6,8;9;7,1;9;;;;;;;;;0;9;0;9
69029001;20240409;10,6;1;262;9;7,3;1;538;9;12,9;1;1336;9;9,3;1;10,10;1;6,6;9;6,5;9;0;9;5,6;1;10,1;1;1022,1;1;1009,2;1;2,9;1;19,0;1;300;1;137;9;11,7;1;300;1;146;9;;;;;;;;;16,1;1;;;157;9;36;1;1;9;97;1;2058;9;54;9;987;9;9,7;9;;;84;1;206;9;1142;9;;;;;26;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;1,9;9;1,9;9;;;;;;;;;0;9;0;9
69029001;20240410;0,0;1;0;9;5,3;1;4;9;14,1;1;1326;9;9,7;1;9,70;1;0,9;9;2,7;9;0;9;8,8;1;9,7;1;1029,5;1;1027,6;1;6,0;1;17,8;1;330;1;1340;9;;;;;;;;;;;;;;;15,4;1;;;1340;9;38;1;1316;9;97;1;30;9;42;9;461;9;7,4;9;;;63;1;526;9;2134;9;;;;;67;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;3,6;9;3,6;9;;;;;;;;;0;9;0;9
69029001;20240411;0,0;1;0;9;5,6;1;301;9;17,7;1;1507;9;11,6;1;11,65;1;1,8;9;3,9;9;0;9;12,1;1;11,7;1;1033,0;1;1031,5;1;3,6;1;11,4;1;300;1;1321;9;7,2;1;340;1;1035;9;;;;;;;;;10,4;1;;;948;9;45;1;1129;9;89;1;2355;9;0;9;31;9;8,0;9;;;60;1;696;9;2173;9;;;;;88;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;3,5;9;3,5;9;;;;;;;;;0;9;0;9
69029001;20240412;0,0;1;0;9;5,5;1;500;9;21,6;1;1423;9;14,1;1;13,55;1;1,8;9;3,1;9;0;9;16,1;1;13,6;1;1032,1;1;1029,3;1;1,9;1;7,5;1;340;1;1104;9;4,9;1;360;1;1603;9;;;;;;;;;6,6;1;;;1554;9;43;1;1328;9;96;1;239;9;0;9;587;9;10,5;9;;;68;1;727;9;2291;9;;;;;92;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;0;9;0;9;0;9;;;3,1;9;3,2;9;;;;;;;;;0;9;0;9
69029001;20240413;0,0;1;0;9;7,6;1;506;9;27,7;1;1535;9;16,9;1;17,65;1;3,6;9;5,2;9;0;9;20,1;1;17,7;1;1027,4;1;1024,2;1;0,9;1;3,8;1;320;1;1251;9;2,0;1;330;1;1333;9;;;;;;;;;3,5;1;;;1443;9;32;1;1603;9;98;1;525;9;204;9;647;9;12,5;9;;;70;1;739;9;2357;9;;;;;93;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;3,7;9;3,8;9;;;;;;;;;0;9;0;9
69029001;20240414;0,0;1;0;9;9,0;1;435;9;29,6;1;1459;9;20,3;1;19,30;1;5,1;9;6,0;9;0;9;20,6;1;19,3;1;1021,4;1;1017,3;1;1,8;1;11,7;1;190;1;0;9;6,5;1;190;1;2310;1;;;;;;;;;10,6;1;;;0;1;32;1;1616;9;99;1;603;9;171;9;427;9;14,0;9;;;62;1;736;9;2348;9;;;;;92;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;0;9;0;9;0;9;;;4,2;9;4,6;9;;;;;;;;;0;9;0;9
69029001;20240415;0,4;1;86;9;15,4;1;511;9;23,0;1;1518;9;18,2;1;19,20;1;12,9;9;14,1;9;0;9;7,6;1;19,2;1;1016,1;1;1013,6;1;4,2;1;14,4;1;240;1;1312;9;8,9;1;320;1;1903;9;;;;;;;;;12,1;1;;;1312;9;37;1;1702;9;70;1;854;9;64;9;0;9;11,6;9;;;55;1;358;9;1722;9;;;;;45;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;5,5;9;5,6;9;;;;;;;;;0;9;0;9
69029001;20240416;0,4;1;138;9;7,6;1;313;9;13,1;1;1152;9;10,2;1;10,35;1;6,5;9;6,5;9;0;9;5,5;1;10,4;1;1016,4;1;1014,8;1;4,4;1;15,2;1;300;1;204;9;9,2;1;320;1;212;9;;;;;;;;;14,5;1;;;210;9;44;1;1317;9;90;1;248;9;0;9;171;9;7,8;9;;;63;1;189;9;1417;9;;;;;23;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;0;9;0;9;0;9;;;3,2;9;3,2;9;;;;;;;;;0;9;0;9
69029001;20240417;6,0;1;409;9;4,5;1;439;9;11,9;1;1321;9;7,7;1;8,20;1;0,3;9;1,6;9;0;9;7,4;1;8,2;1;1015,6;1;1014,3;1;2,9;1;11,5;1;300;1;1245;9;7,6;1;290;1;1042;9;;;;;;;;;10,5;1;;;1241;9;55;1;1425;9;96;1;456;9;0;9;799;9;8,4;9;;;81;1;127;9;1171;9;;;;;16;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;1,9;9;2,0;9;;;;;;;;;0;9;0;9
