POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
69029001;20230408;0,0;1;0;9;2,8;1;311;9;16,5;1;1344;9;9,4;1;9,65;1;-0,2;9;-0,3;9;0;9;13,7;1;9,7;1;1021,0;1;1019,7;1;3,9;1;12,4;1;350;1;1658;9;7,8;1;340;1;1700;9;;;;;;;;;11,0;1;;;1658;9;45;1;1406;9;95;1;315;9;0;9;589;9;8,1;9;;;71;1;470;9;2082;9;;;;;60;9;;;;;;;;;0;9;0;9;;;;;;;;;1;9;;;0;9;0;9;0;9;;;3,0;9;3,1;9;;;;;;;;;0;9;0;9
69029001;20230409;0,0;1;;;1,5;1;519;9;18,2;1;1458;9;10,3;1;9,85;1;-0,3;9;-1,5;9;0;9;16,7;1;9,9;1;1021,3;1;1019,2;1;1,6;1;6,5;1;350;1;1447;9;3,8;1;10;1;1535;9;;;;;;;;;6,3;1;;;1447;9;35;1;1512;9;97;1;436;9;115;9;509;9;8,2;9;;;69;1;636;9;2199;9;;;;;81;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;2,6;9;2,8;9;;;;;;;;;0;9;0;9
69029001;20230410;1,8;1;107;9;2,9;1;420;9;21,2;1;1334;9;13,3;1;12,05;1;1,3;9;0,6;9;0;9;18,3;1;12,1;1;1020,5;1;1018,7;1;1,9;1;12,9;1;210;1;1624;9;6,1;1;260;1;1632;9;;;;;;;;;12,2;1;;;1624;9;33;1;1323;9;96;1;437;9;139;9;403;9;9,3;9;;;64;1;332;9;1583;9;;;;;42;9;;;;;;;;;;;0;9;0;9;;;;;;;0;9;;;0;9;0;9;0;9;;;2,8;9;3,1;9;;;;;;;;;0;9;0;9
69029001;20230411;0,0;1;0;9;9,8;1;557;9;15,2;1;1529;9;12,2;1;12,50;1;9,4;9;9,3;9;0;9;5,4;1;12,5;1;1018,8;1;1013,5;1;2,2;1;10,6;1;320;1;400;9;6,7;1;320;1;405;9;;;;;;;;;9,7;1;;;400;9;63;1;1639;9;93;1;638;9;0;9;571;9;11,0;9;;;78;1;55;9;976;9;;;;;7;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;2,1;9;2,2;9;;;;;;;;;0;9;0;9
69029001;20230412;1,4;1;86;9;8,1;1;50;9;14,6;1;1607;9;10,9;1;11,35;1;6,1;9;6,3;9;0;9;6,5;1;11,4;1;1009,6;1;1006,7;1;3,0;1;13,1;1;290;1;1832;9;8,0;1;290;1;1838;9;;;;;;;;;12,0;1;;;1832;9;54;1;1631;9;92;1;52;9;0;9;555;9;9,7;9;;;74;1;0;9;307;9;;;;;0;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;1,7;9;1,9;9;;;;;;;;;0;9;0;9
69029001;20230413;3,6;1;125;9;1,0;1;504;9;13,7;1;1459;9;8,1;1;7,35;1;-0,2;9;-1,0;9;0;9;12,7;1;7,4;1;1011,6;1;1009,2;1;2,3;1;14,0;1;320;1;1328;9;8,8;1;310;1;1330;9;;;;;;;;;12,5;1;;;1328;9;39;1;1528;9;94;1;2324;9;5;9;578;9;7,3;9;;;69;1;306;9;1656;9;;;;;39;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;2,2;9;2,6;9;;;;;;;;;0;9;0;9
69029001;20230414;3,2;1;361;9;5,7;1;409;9;12,6;1;1520;9;9,3;1;9,15;1;4,9;9;4,9;9;0;9;6,9;1;9,2;1;1010,1;1;1006,6;1;2,4;1;9,1;1;210;1;1310;9;6,3;1;200;1;1318;9;;;;;;;;;8,4;1;;;1314;9;52;1;1233;9;95;1;2338;9;0;9;638;9;8,5;9;;;74;1;146;9;1176;9;;;;;18;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;2,1;9;2,2;9;;;;;;;;;0;9;;
69029001;20230415;0,8;1;199;9;8,3;1;2259;9;11,7;1;911;9;9,4;1;10,00;1;6,8;9;6,7;9;0;9;3,4;1;10,0;1;1014,2;1;1008,8;1;5,5;1;15,3;1;310;1;1338;9;10,3;1;290;1;1011;9;;;;;;;;;14,3;1;;;1010;9;62;1;937;9;96;1;341;9;0;9;808;9;9,4;9;;;80;1;51;9;817;9;;;;;6;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;2,1;9;1,9;9;;;;;;;;;0;9;0;9
69029001;20230416;0,0;1;0;9;3,8;1;509;9;11,0;1;1157;9;8,3;1;7,40;1;1,3;9;1,4;9;0;9;7,2;1;7,4;1;1022,3;1;1020,7;1;5,3;1;11,9;1;350;1;1528;9;8,3;1;340;1;1324;9;;;;;;;;;11,1;1;;;1212;9;66;1;937;9;97;1;532;9;0;9;882;9;8,9;9;;;82;1;76;9;993;9;;;;;9;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;1,4;9;1,6;9;;;;;;;;;0;9;0;9
69029001;20230417;0,6;1;95;9;6,9;1;2339;9;14,6;1;1323;9;10,6;1;10,75;1;5,7;9;6,0;9;0;9;7,7;1;10,8;1;1018,9;1;1016,6;1;5,3;1;12,0;1;360;1;1755;9;8,0;1;330;1;1600;9;;;;;;;;;11,2;1;;;1214;9;59;1;1741;9;88;1;1;9;0;9;657;9;9,6;9;;;76;1;46;9;914;9;;;;;6;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;2,3;9;2,4;9;;;;;;;;;0;9;0;9
